"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation"
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",NA,NA,NA,370,55,2012,8,4,1709,NA,20,"D",59.6355,-2.7427,59.6223,-2.7427,"48E7",75,"I","74SC0311",1,1,"C",-9,NA,NA,NA,NA,NA,NA,-9,NA,-9,17,NA,-9,NA,210,3.6,3.6,80,0.1,NA,-9,360,6,45,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",371,56,2012,8,4,2047,NA,30,"N",59.2343,-2.1977,59.2097,-2.2288,"47E7",75,"V","74SC0312",1,1,"C",4.2,NA,NA,3288,260,28,NA,4.5,1100,70,18,186,0.7,NA,215,3.5,3.5,261,0.1,NA,-9,45,5,360,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",372,57,2012,8,5,430,NA,30,"D",59.2438,-1.498,59.2738,-1.5062,"47E8",100,"V","74SC0313",1,1,"C",4.3,NA,NA,3362,330,28,NA,4.5,1100,74,17,186,0.7,NA,355,3.6,3.6,34,0.1,NA,-9,45,6,360,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",373,58,2012,8,5,906,NA,23,"D",59.9185,-1.6948,59.9077,-1.7333,"48E8",102,"V","74SC0314",1,1,"C",4.1,NA,NA,2447,330,28,NA,4.5,1100,77,18,186,0.7,NA,237,3.5,3.5,208,0.1,NA,-9,45,5,45,0.2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",374,59,2012,8,5,1145,NA,30,"D",60.1625,-1.589,60.1837,-1.629,"49E8",92,"V","74SC0315",1,1,"C",4.6,NA,NA,3265,300,28,NA,4.5,1100,73,17,186,0.7,NA,314,3.5,3.5,88,0.2,NA,-9,45,3,45,0.1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",375,60,2012,8,5,1459,NA,30,"D",60.2355,-2.2505,60.2112,-2.2862,"49E7",126,"V","74SC0316",1,1,"C",3.9,NA,NA,3364,400,28,NA,4.5,1100,82,19,186,0.7,NA,220,3.6,3.6,274,0.1,NA,-9,45,3,45,0.1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",376,61,2012,8,5,1822,NA,30,"D",59.8452,-2.5423,59.816,-2.5507,"48E7",80,"V","74SC0317",1,1,"C",4.3,NA,NA,3291,270,28,NA,4.5,1100,73,18,186,0.7,NA,190,3.6,3.6,306,0.2,NA,-9,360,5,360,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",377,62,2012,8,6,442,NA,30,"D",60.0348,-3.3068,60.06,-3.2782,"49E6",180,"V","74SC0318",1,1,"C",3.8,NA,NA,3225,570,28,NA,4.5,1100,87,20,186,0.7,NA,35,3.5,3.5,263,0.1,NA,-9,360,5,360,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",378,63,2012,8,6,1036,NA,30,"D",60.5625,-2.2745,60.5907,-2.2547,"50E7",156,"V","74SC0319",1,1,"C",3.7,NA,NA,3308,500,28,NA,4.5,1100,89,20,186,0.7,NA,16,3.6,3.6,243,0.1,NA,-9,23,8,360,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",379,64,2012,8,6,1319,NA,30,"D",60.6812,-1.7105,60.7108,-1.6955,"50E8",118,"V","74SC0320",1,1,"C",3.7,NA,NA,3373,390,28,NA,4.5,1100,88,21,186,0.7,NA,14,3.7,3.7,162,0.2,NA,-9,23,5,360,0.2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
